date,USDSGD,USDCNY,USDEUR,USDGBP,USDCHF,USDJPY,USDGOLD
29/04/2016 00:00,1.344,6.474,0.874,0.684,0.96,106.36,1289.4
02/05/2016 00:00,1.342,6.476,0.868,0.682,0.955,106.46,1294.0
03/05/2016 00:00,1.353,6.492,0.87,0.688,0.955,107.0,1290.7
04/05/2016 00:00,1.358,6.495,0.871,0.69,0.957,106.985,1273.3
05/05/2016 00:00,1.359,6.504,0.877,0.69,0.968,107.27,1272.8
06/05/2016 00:00,1.361,6.498,0.877,0.693,0.973,107.125,1292.9
09/05/2016 00:00,1.372,6.516,0.879,0.694,0.971,108.445,1265.9
10/05/2016 00:00,1.369,6.518,0.879,0.692,0.976,109.33,1263.9
11/05/2016 00:00,1.367,6.492,0.875,0.692,0.971,108.44,1272.4
12/05/2016 00:00,1.373,6.516,0.879,0.692,0.971,109.055,1271.3
13/05/2016 00:00,1.372,6.533,0.884,0.696,0.975,108.64,1273.4
16/05/2016 00:00,1.37,6.521,0.884,0.694,0.978,109.045,1272.8
17/05/2016 00:00,1.37,6.52,0.884,0.692,0.98,109.14,1276.2
18/05/2016 00:00,1.382,6.538,0.891,0.685,0.988,110.18,1270.3
19/05/2016 00:00,1.38,6.547,0.893,0.685,0.991,109.96,1255.3
20/05/2016 00:00,1.382,6.546,0.891,0.69,0.99,110.115,1252.4
23/05/2016 00:00,1.378,6.557,0.891,0.691,0.99,109.235,1251.1
24/05/2016 00:00,1.381,6.555,0.898,0.684,0.993,109.98,1234.8
25/05/2016 00:00,1.378,6.556,0.896,0.68,0.991,110.18,1223.5
26/05/2016 00:00,1.374,6.555,0.893,0.682,0.989,109.765,1230.6
27/05/2016 00:00,1.38,6.566,0.9,0.684,0.995,110.23,1212.4
30/05/2016 00:00,1.382,6.587,0.898,0.684,0.993,111.135,1205.7
31/05/2016 00:00,1.378,6.582,0.898,0.691,0.994,110.73,1214.5
01/06/2016 00:00,1.377,6.576,0.894,0.694,0.988,109.52,1210.6
02/06/2016 00:00,1.376,6.584,0.897,0.694,0.99,108.86,1210.4
03/06/2016 00:00,1.357,6.567,0.88,0.689,0.976,106.545,1240.1
06/06/2016 00:00,1.356,6.563,0.88,0.692,0.971,107.58,1245.0
07/06/2016 00:00,1.352,6.571,0.88,0.688,0.965,107.335,1243.0
08/06/2016 00:00,1.347,6.563,0.877,0.689,0.959,106.915,1259.8
09/06/2016 00:00,1.353,6.563,0.884,0.692,0.965,106.98,1269.8
10/06/2016 00:00,1.36,6.563,0.889,0.701,0.964,106.94,1273.4
13/06/2016 00:00,1.356,6.587,0.886,0.704,0.964,106.14,1284.4
14/06/2016 00:00,1.356,6.595,0.892,0.709,0.964,106.045,1283.4
15/06/2016 00:00,1.352,6.582,0.888,0.704,0.961,106.015,1285.1
16/06/2016 00:00,1.349,6.592,0.891,0.704,0.965,104.31,1296.1
17/06/2016 00:00,1.349,6.586,0.887,0.696,0.96,104.15,1292.9
20/06/2016 00:00,1.344,6.58,0.884,0.682,0.962,103.94,1286.2
21/06/2016 00:00,1.342,6.608,0.889,0.681,0.962,104.765,1271.0
22/06/2016 00:00,1.338,6.578,0.883,0.676,0.959,104.865,1269.2
23/06/2016 00:00,1.337,6.579,0.876,0.667,0.963,106.545,1261.2
24/06/2016 00:00,1.353,6.539,0.901,0.731,0.972,102.255,1316.4
27/06/2016 00:00,1.363,6.652,0.908,0.757,0.978,101.895,1320.0
28/06/2016 00:00,1.355,6.664,0.903,0.75,0.981,102.715,1315.3
29/06/2016 00:00,1.348,6.634,0.899,0.744,0.98,102.905,1322.9
30/06/2016 00:00,1.347,6.659,0.901,0.753,0.976,103.33,1314.5
01/07/2016 00:00,1.346,6.642,0.898,0.753,0.973,102.525,1335.8
04/07/2016 00:00,1.346,6.667,0.897,0.753,0.971,102.52,1351.7
05/07/2016 00:00,1.351,6.683,0.904,0.768,0.977,101.71,1356.4
06/07/2016 00:00,1.35,6.693,0.902,0.773,0.975,101.375,1367.2
07/07/2016 00:00,1.351,6.682,0.904,0.774,0.979,100.785,1358.2
08/07/2016 00:00,1.346,6.69,0.905,0.772,0.983,100.54,1358.6
11/07/2016 00:00,1.351,6.693,0.904,0.77,0.983,102.755,1358.3
12/07/2016 00:00,1.346,6.714,0.904,0.755,0.989,104.75,1332.4
13/07/2016 00:00,1.347,6.684,0.902,0.761,0.985,104.425,1342.4
14/07/2016 00:00,1.343,6.678,0.9,0.75,0.981,105.425,1323.4
15/07/2016 00:00,1.348,6.745,0.906,0.758,0.982,104.8,1327.8
18/07/2016 00:00,1.348,6.706,0.903,0.755,0.982,106.18,1328.4
19/07/2016 00:00,1.354,6.693,0.908,0.763,0.986,106.06,1330.5
20/07/2016 00:00,1.357,6.679,0.908,0.756,0.987,107.205,1317.8
21/07/2016 00:00,1.355,6.676,0.907,0.756,0.986,106.155,1329.5
22/07/2016 00:00,1.359,6.692,0.911,0.763,0.987,106.105,1322.2
25/07/2016 00:00,1.362,6.68,0.91,0.761,0.986,105.83,1318.1
26/07/2016 00:00,1.359,6.674,0.91,0.761,0.992,104.73,1320.3
27/07/2016 00:00,1.353,6.673,0.905,0.757,0.986,105.325,1326.3
28/07/2016 00:00,1.354,6.657,0.903,0.76,0.981,105.325,1332.3
29/07/2016 00:00,1.341,6.64,0.895,0.756,0.97,102.075,1350.9
01/08/2016 00:00,1.342,6.632,0.896,0.759,0.969,102.425,1351.7
02/08/2016 00:00,1.34,6.63,0.891,0.749,0.965,100.89,1363.5
03/08/2016 00:00,1.342,6.634,0.897,0.751,0.973,101.27,1356.8
04/08/2016 00:00,1.342,6.643,0.899,0.763,0.974,101.185,1361.0
05/08/2016 00:00,1.346,6.657,0.902,0.765,0.981,101.82,1336.3
08/08/2016 00:00,1.347,6.666,0.902,0.767,0.982,102.42,1333.4
09/08/2016 00:00,1.344,6.656,0.9,0.769,0.981,101.865,1338.9
10/08/2016 00:00,1.341,6.638,0.894,0.768,0.975,101.2,1345.0
11/08/2016 00:00,1.343,6.628,0.898,0.772,0.975,101.935,1350.4
12/08/2016 00:00,1.345,6.635,0.896,0.774,0.975,101.315,1350.0
15/08/2016 00:00,1.343,6.636,0.894,0.776,0.973,101.265,1340.2
16/08/2016 00:00,1.34,6.625,0.887,0.767,0.962,100.23,1349.5
17/08/2016 00:00,1.343,6.636,0.886,0.767,0.962,100.25,1342.8
18/08/2016 00:00,1.339,6.611,0.881,0.76,0.955,99.935,1351.2
19/08/2016 00:00,1.347,6.651,0.883,0.765,0.961,100.195,1339.8
22/08/2016 00:00,1.351,6.65,0.883,0.761,0.962,100.295,1337.7
23/08/2016 00:00,1.351,6.675,0.884,0.758,0.963,100.245,1339.9
24/08/2016 00:00,1.354,6.652,0.888,0.756,0.967,100.425,1324.8
25/08/2016 00:00,1.353,6.665,0.886,0.758,0.968,100.54,1320.1
26/08/2016 00:00,1.359,6.674,0.893,0.761,0.978,101.8,1322.4
29/08/2016 00:00,1.36,6.681,0.894,0.763,0.978,101.895,1322.9
30/08/2016 00:00,1.364,6.684,0.897,0.765,0.984,102.988,1311.3
31/08/2016 00:00,1.363,6.679,0.896,0.761,0.984,103.37,1306.9
01/09/2016 00:00,1.359,6.651,0.893,0.753,0.98,103.23,1312.2
02/09/2016 00:00,1.36,6.682,0.897,0.752,0.981,103.908,1321.4
05/09/2016 00:00,1.357,6.676,0.897,0.751,0.98,103.43,1326.3
06/09/2016 00:00,1.346,6.676,0.889,0.745,0.97,102.07,1349.4
07/09/2016 00:00,1.347,6.663,0.89,0.75,0.97,101.69,1344.3
