,TALUSD
366,1.2352644431640682
367,1.2385675151899722
368,1.2358753855253035
369,1.2426039048735573
370,1.2398345323932947
371,1.2497076014410369
372,1.2473011021093392
373,1.2452889957790032
374,1.2483325013601725
375,1.2463811774397835
376,1.2424422627192142
377,1.236929087891294
378,1.2392175359011903
379,1.2403778966346526
380,1.2419728690446925
381,1.2356206127165266
382,1.2283320348591984
383,1.2111173426446609
384,1.205286431018858
385,1.1994522760135689
386,1.2088066632118388
387,1.2051897569996588
388,1.2058422757876672
389,1.2040550192139188
390,1.205188642420257
391,1.2109015189222687
392,1.207001206181683
393,1.2120924919086629
394,1.209955313475577
395,1.2094908462969363
396,1.2074061586421663
397,1.20603960125125
398,1.2079714211109323
399,1.2102389362503283
400,1.2064156818483964
401,1.211234362546551
402,1.2027170323530656
403,1.2015245466346465
404,1.203393473924105
405,1.193749204801387
406,1.2071938058946963
407,1.211851517698643
408,1.207746688855673
409,1.2090127691432158
410,1.209150362558523
411,1.1983399829764831
412,1.1962057012651737
413,1.1931769489254143
414,1.1888152884354253
415,1.1853032054583381
416,1.1858247031509797
417,1.1857701120585358
418,1.1859117666114913
419,1.1809618448245924
420,1.182603116657475
421,1.1847068500642215
422,1.1801641805487375
423,1.1776519441170632
424,1.183568457382884
425,1.1867264473219756
426,1.1861289500580408
427,1.1880288692019012
428,1.209776831344234
429,1.2081223764224425
430,1.2049014759895031
431,1.2064511334927777
432,1.2100080220409244
433,1.2032310667277095
434,1.19726352883245
435,1.1906961425427698
436,1.1977383989763954
437,1.1935857140304607
438,1.185085190238584
439,1.1899089385028838
440,1.1904986321257003
441,1.1917850529322254
442,1.188994146819662
443,1.1927453822107852
444,1.180060716746618
445,1.182549333710904
446,1.179319368140323
447,1.1761779194353967
448,1.179940551652291
449,1.1813315461796035
450,1.1808037472410229
451,1.1762674986890038
452,1.174962819974393
453,1.1738865804530687
454,1.173957626864837
455,1.1718100265184344
456,1.1714760497056769
457,1.1740143141351422
458,1.1692397701106967
459,1.1696025626374869
460,1.1656841351060945
461,1.1649648143293285
462,1.1616146600681145
463,1.157188145026625
464,1.1429893730139769
465,1.1434963630014023
466,1.1361171493111124
467,1.1287576417639098
468,1.132057126904165
469,1.1275303975485063
470,1.12939981018223
471,1.1294970496963939
472,1.1418228892455302
473,1.1407868812665647
474,1.1504004129484195
475,1.1565979539762874
476,1.156305003300176
477,1.1586568737639609
478,1.1575877933848182
479,1.1574982350241898
480,1.1505328803038382
481,1.1484817104300975
482,1.1550730209242608
483,1.1579302915369114
484,1.156418557352015
485,1.154503607355514
486,1.1471547099746378
487,1.146544282869894
488,1.1452356984600012
489,1.148838397064853
490,1.1533406848560015
491,1.1566941141302949
492,1.1597258081616262
493,1.154699352688928
494,1.1557287402253213
495,1.1511795284542694
496,1.1576850761131328
497,1.1574625071955071
498,1.1622530692164668
499,1.1677641634156313
500,1.1732588801958712
501,1.1694221888915055
502,1.1642769741162204
503,1.1663165997980869
504,1.1701899708417407
505,1.176319493404438
506,1.1713968893866589
507,1.1713895525082485
508,1.1672621342487146
509,1.1734197327332199
510,1.1845636330122045
511,1.1881618381869403
512,1.185313206386571
513,1.1827103189979637
514,1.1712354516001533
515,1.1692019380214465
516,1.1701938057147807
517,1.1656615871893636
518,1.164616537600521
519,1.1544658537777077
520,1.1544101999205132
521,1.156856003260621
522,1.1559021827140081
523,1.1536167458226836
524,1.1639268952161552
525,1.1651459043073953
526,1.1613664920372426
527,1.1543671955803212
528,1.1626142813543503
529,1.163340184205407
530,1.1693930980411824
531,1.164713283866723
532,1.1659514023167494
533,1.167699922643166
534,1.1659009035458425
535,1.1694087479555502
536,1.1768072457859897
537,1.1772060186624809
538,1.171558205941254
539,1.1627407122892373
540,1.1628928107293193
541,1.1624978273819095
542,1.1616774116125772
543,1.1671159908342565
544,1.1626008403164627
545,1.157308566243392
546,1.1572007243150797
547,1.1591615577405863
548,1.158577812813293
549,1.1520390620955054
550,1.157652553873215
551,1.1553700603775365
552,1.1582028445993056
553,1.151170274156672
554,1.1523147431972964
555,1.1476841094639072
556,1.1447054457089567
557,1.1404286991573913
558,1.1341203939976536
559,1.1379612221657187
560,1.1347618649182882
561,1.1367853116276023
562,1.133225641166484
563,1.140539371626471
564,1.1397285493570048
565,1.135613868946229
566,1.132801364150398
567,1.1371680596427218
568,1.133619924398459
569,1.1309155087011222
570,1.1295128669669947
571,1.1305374244576378
572,1.1325509537596226
573,1.1361709766319632
574,1.1304770253656047
575,1.1368044219575575
576,1.1341567356084779
577,1.1331330830586512
578,1.1322969487929386
579,1.1315037524459024
580,1.1382314648267329
581,1.1475669252366494
582,1.1554134704702546
583,1.1640010208842158
584,1.1572086966451647
585,1.1458038744926005
